,generation,best,average,worst
397,397,296787.0,182013.77,-416972.0
398,398,300356.0,134193.945,-336499.0
399,399,300356.0,133067.08,-356673.0
400,400,300356.0,190240.765,-449380.0
401,401,300356.0,184310.955,-228087.0
402,402,300356.0,187194.295,-519689.0
403,403,300356.0,180649.985,-291194.0
404,404,300356.0,193818.18,-284014.0
405,405,300356.0,205302.355,-161001.0
406,406,300356.0,176917.78,-348614.0
407,407,300356.0,169409.45,-272801.0
408,408,300356.0,180241.9,-154183.0
409,409,300356.0,180145.715,-376818.0
410,410,300356.0,164011.075,-560601.0
411,411,300356.0,187028.095,-221577.0
412,412,300937.0,185717.975,-246813.0
413,413,300937.0,162421.65,-443994.0
414,414,300937.0,178707.4,-267256.0
415,415,300937.0,159705.175,-296726.0
416,416,300937.0,164945.555,-244513.0
417,417,300937.0,164186.63,-341691.0
418,418,300937.0,157074.195,-428052.0
419,419,300937.0,179836.225,-343405.0
420,420,300937.0,148113.28,-549517.0
421,421,300937.0,177526.955,-445135.0
422,422,305580.0,159752.99,-421298.0
423,423,305580.0,174263.32,-339018.0
424,424,305580.0,192263.96,-232178.0
425,425,305580.0,193038.315,-358116.0
426,426,305580.0,201054.45,-237819.0
427,427,305580.0,193416.165,-330799.0
428,428,305580.0,170613.86,-294693.0
429,429,305948.0,174095.77,-354841.0
430,430,305948.0,183591.595,-277872.0
431,431,305948.0,195114.425,-338197.0
432,432,306379.0,186684.965,-348413.0
433,433,306379.0,183226.805,-224578.0
434,434,306379.0,186483.165,-237311.0
435,435,306379.0,179321.815,-338238.0
436,436,306379.0,185898.985,-229635.0
437,437,309258.0,161756.035,-457399.0
438,438,309258.0,147765.86,-239377.0
439,439,309258.0,160668.87,-337276.0
440,440,309258.0,178777.94,-338561.0
441,441,309258.0,160047.55,-484810.0
442,442,309258.0,186299.84,-437669.0
443,443,309258.0,199193.255,-366095.0
444,444,309258.0,185869.205,-339780.0
445,445,310441.0,184497.105,-476896.0
446,446,311015.0,169416.49,-343097.0
447,447,314045.0,173828.2,-575397.0
448,448,314045.0,188284.755,-344110.0
449,449,314045.0,184489.64,-334917.0
450,450,314045.0,186749.915,-321631.0
451,451,315063.0,204461.655,-254401.0
452,452,315063.0,181636.74,-264373.0
453,453,315063.0,192106.445,-246418.0
454,454,315063.0,184749.965,-434485.0
455,455,315063.0,176693.075,-337467.0
456,456,315063.0,181798.025,-270005.0
457,457,315063.0,184821.42,-341063.0
458,458,315063.0,211230.8,-227636.0
459,459,315063.0,190922.325,-389499.0
460,460,315063.0,194578.655,-239693.0
461,461,315676.0,190631.96,-448174.0
462,462,315676.0,183443.135,-342483.0
463,463,315676.0,176981.35,-492850.0
464,464,316460.0,183995.43,-350003.0
465,465,316460.0,196794.2,-257546.0
466,466,316460.0,185444.115,-346139.0
467,467,316460.0,163098.525,-349294.0
468,468,316460.0,178728.985,-321620.0
469,469,316460.0,148846.58,-447316.0
470,470,316460.0,175965.74,-445134.0
471,471,316460.0,176357.41,-324259.0
472,472,316460.0,160102.96,-344477.0
473,473,316460.0,182216.93,-360020.0
474,474,316460.0,173608.105,-432311.0
475,475,316460.0,174547.78,-347571.0
476,476,316460.0,185899.995,-238641.0
477,477,316460.0,210550.165,-320626.0
478,478,316460.0,173581.475,-250648.0
479,479,316460.0,185740.0,-332628.0
480,480,316914.0,197967.89,-325815.0
481,481,316914.0,196830.94,-377412.0
482,482,316914.0,176743.02,-338839.0
483,483,316914.0,166763.93,-229735.0
484,484,316914.0,185038.335,-334594.0
485,485,316914.0,158526.735,-339005.0
486,486,316914.0,178014.26,-221292.0
487,487,316914.0,179348.075,-334715.0
488,488,317905.0,174483.045,-324798.0
489,489,317905.0,190213.28,-447498.0
490,490,317905.0,178044.62,-636126.0
491,491,317905.0,168564.445,-443422.0
492,492,317905.0,181206.15,-369866.0
493,493,317905.0,158230.455,-547515.0
494,494,317905.0,204053.22,-340041.0
495,495,317905.0,188338.805,-335470.0
496,496,317905.0,188229.825,-396258.0
497,497,317905.0,195265.59,-227040.0
498,498,317905.0,192046.72,-350134.0
499,499,317905.0,181348.58,-330436.0
