generation,best,average,worst
381,303283.0,158553.99,-348231.0
382,303677.0,171194.39,-339904.0
383,303677.0,170402.2,-216493.0
384,303677.0,175191.21,-357222.0
385,303677.0,172139.0,-376193.0
386,303677.0,177723.035,-318267.0
387,303677.0,165599.665,-344337.0
388,303677.0,177520.665,-318347.0
389,303677.0,181376.56,-317715.0
390,303677.0,177747.045,-330444.0
391,303677.0,157497.435,-329502.0
392,303677.0,170428.07,-529663.0
393,303677.0,165475.16,-448262.0
394,303677.0,164802.38,-332467.0
395,303677.0,162813.37,-330904.0
396,304235.0,163782.94,-382572.0
397,304235.0,171434.94,-459373.0
398,304235.0,153438.21,-360480.0
399,304235.0,152730.125,-342491.0
400,304235.0,146172.855,-372047.0
401,304235.0,147664.8,-444821.0
402,304235.0,140950.55,-434654.0
403,304235.0,156228.74,-347013.0
404,304235.0,161722.665,-275727.0
405,304235.0,144433.635,-437105.0
406,304235.0,154337.68,-447313.0
407,304235.0,173679.505,-344033.0
408,304235.0,154224.02,-503527.0
409,304235.0,128859.87,-428535.0
410,305758.0,142829.175,-442901.0
411,306890.0,158905.34,-434645.0
412,306890.0,136404.685,-339329.0
413,306890.0,165965.32,-439642.0
414,306890.0,150602.21,-428056.0
415,306890.0,157727.115,-426339.0
416,307057.0,161875.105,-339916.0
417,307057.0,185200.955,-323732.0
418,307057.0,152364.63,-439867.0
419,307057.0,145760.4,-343983.0
420,307057.0,165982.245,-562289.0
421,307057.0,153849.345,-545838.0
422,307057.0,153556.6,-469551.0
423,307057.0,153212.935,-446432.0
424,307057.0,146818.89,-239134.0
425,307057.0,145157.975,-369847.0
426,307057.0,163137.17,-320281.0
427,307057.0,161327.84,-335310.0
428,307057.0,164835.14,-348127.0
429,307057.0,164564.495,-452068.0
430,307057.0,176288.345,-333813.0
431,307057.0,193785.32,-432195.0
432,307057.0,165510.65,-325446.0
433,307057.0,165023.165,-319856.0
434,307057.0,140262.27,-338137.0
435,307057.0,180273.32,-451205.0
436,307057.0,192115.84,-345207.0
437,307057.0,154648.74,-352007.0
438,307057.0,144963.075,-457576.0
439,307057.0,178334.805,-350886.0
440,307057.0,168035.65,-376335.0
441,307057.0,157661.93,-439969.0
442,307057.0,168129.25,-348157.0
443,307057.0,176467.695,-444700.0
444,307057.0,163846.44,-331875.0
445,307057.0,181367.94,-403413.0
446,307057.0,164099.605,-427950.0
447,307057.0,181630.17,-430583.0
448,307057.0,142304.78,-451624.0
449,307057.0,165932.265,-333948.0
450,307057.0,176327.415,-456049.0
451,307057.0,177651.0,-342405.0
452,307057.0,169059.36,-346139.0
453,307057.0,175031.59,-335285.0
454,307057.0,148843.805,-454659.0
455,307057.0,154075.875,-338048.0
456,307057.0,162906.095,-426751.0
457,307057.0,144979.055,-340958.0
458,307057.0,168822.25,-469114.0
459,307364.0,169208.925,-446377.0
460,307364.0,160324.285,-452485.0
461,307364.0,155116.12,-540573.0
462,307364.0,167109.94,-349882.0
463,307364.0,151672.935,-349060.0
464,307364.0,174993.61,-429072.0
465,307364.0,186891.375,-398632.0
466,307364.0,159624.175,-357106.0
467,307364.0,164098.09,-276159.0
468,307364.0,174464.75,-329245.0
469,307364.0,172743.915,-449518.0
470,307364.0,150292.415,-336896.0
471,307364.0,154625.76,-851198.0
472,307364.0,178201.22,-336454.0
473,307364.0,157831.905,-438549.0
474,307364.0,148985.63,-346558.0
475,307364.0,181932.18,-337190.0
476,307364.0,168164.77,-319872.0
477,309002.0,141561.575,-438432.0
478,309656.0,158772.8,-434675.0
479,309656.0,150562.5,-533220.0
480,309656.0,143482.88,-442113.0
481,309656.0,165964.36,-440901.0
482,309656.0,143885.215,-464730.0
483,309656.0,168210.63,-534699.0
484,309656.0,165933.915,-359457.0
485,309656.0,173531.75,-340098.0
486,309656.0,154769.565,-548306.0
487,309656.0,160848.635,-338882.0
488,309656.0,152564.93,-341833.0
489,309656.0,169949.92,-323244.0
490,312026.0,166882.895,-266290.0
491,312026.0,170267.265,-348862.0
492,312026.0,158004.36,-449290.0
493,312026.0,166781.465,-445425.0
494,312026.0,177706.755,-327226.0
495,312026.0,156041.68,-332074.0
496,312026.0,173208.775,-247729.0
497,312026.0,173580.14,-328107.0
498,312026.0,164646.28,-428034.0
499,312026.0,176034.57,-336534.0
