generation,best,average,worst
340,309681.0,181788.155,-322992.0
341,309681.0,172149.125,-349512.0
342,310194.0,181456.925,-559236.0
343,310194.0,211438.655,-336789.0
344,310194.0,180037.3,-241576.0
345,310194.0,196998.535,-335138.0
346,310194.0,194309.87,-350136.0
347,310194.0,199717.205,-240528.0
348,310194.0,177651.5,-344698.0
349,311092.0,193825.795,-320895.0
350,314835.0,187868.365,-544837.0
351,314835.0,199050.28,-336810.0
352,315733.0,198198.17,-263965.0
353,315733.0,167598.04,-448058.0
354,315733.0,194398.355,-433461.0
355,315733.0,203539.875,-427023.0
356,315733.0,197105.625,-339084.0
357,315733.0,201695.72,-338176.0
358,315733.0,201274.405,-328498.0
359,315733.0,191030.08,-335204.0
360,316091.0,196091.39,-205112.0
361,316091.0,206999.03,-238002.0
362,316504.0,208396.435,-328253.0
363,316504.0,188646.36,-337992.0
364,316504.0,190320.505,-542787.0
365,316504.0,193030.655,-429496.0
366,316504.0,198434.71,-324864.0
367,316504.0,204478.09,-347898.0
368,316504.0,188327.46,-330725.0
369,316781.0,174352.485,-650021.0
370,316781.0,177125.02,-344720.0
371,316781.0,207166.38,-327879.0
372,316781.0,209292.295,-322859.0
373,316781.0,201060.645,-348900.0
374,316781.0,204206.8,-349817.0
375,316781.0,208129.82,-336324.0
376,316781.0,180992.785,-457353.0
377,316781.0,190471.655,-237405.0
378,316781.0,194583.385,-339705.0
379,316781.0,201115.75,-236446.0
380,316781.0,204502.075,-343195.0
381,316781.0,203141.155,-439388.0
382,316781.0,193047.095,-436290.0
383,316781.0,203620.255,-240329.0
384,316781.0,205386.85,-310911.0
385,316781.0,195186.705,-445476.0
386,317321.0,200517.88,-352852.0
387,317321.0,202127.575,-349946.0
388,317321.0,206053.235,-347736.0
389,317321.0,199763.17,-328150.0
390,317321.0,182354.68,-450459.0
391,317321.0,180432.7,-333059.0
392,317321.0,196718.91,-232803.0
393,317321.0,188294.125,-327604.0
394,317321.0,204178.73,-342637.0
395,317321.0,205403.83,-232830.0
396,317321.0,210047.445,-226236.0
397,317321.0,203691.455,-348189.0
398,317321.0,190001.225,-350250.0
399,317321.0,201467.115,-343758.0
400,317321.0,213048.18,-146581.0
401,318445.0,187737.02,-342265.0
402,318445.0,212557.695,-366370.0
403,318445.0,191960.105,-369358.0
404,318445.0,204812.005,-338152.0
405,318445.0,206026.095,-237358.0
406,318445.0,187787.77,-445439.0
407,318445.0,198465.295,-346932.0
408,318445.0,197332.355,-258916.0
409,318445.0,190769.8,-323603.0
410,318445.0,204807.02,-329253.0
411,318445.0,205358.29,-386872.0
412,318445.0,212401.59,-226484.0
413,318445.0,203625.315,-272182.0
414,318445.0,191605.745,-325314.0
415,318445.0,209223.25,-327174.0
416,318445.0,182622.99,-350590.0
417,318445.0,215510.775,-317061.0
418,318445.0,198219.23,-230304.0
419,318445.0,190633.07,-235209.0
420,318445.0,193795.565,-422969.0
421,318445.0,194042.265,-424353.0
422,318445.0,206916.53,-238314.0
423,318445.0,201303.615,-316490.0
424,318445.0,189641.21,-355963.0
425,318445.0,208578.92,-412489.0
426,318445.0,185056.865,-214313.0
427,318445.0,197027.895,-343317.0
428,318445.0,200403.47,-359453.0
429,318445.0,211110.405,-239110.0
430,318445.0,182484.575,-357188.0
431,318445.0,199195.35,-365536.0
432,318445.0,196999.295,-230382.0
433,318445.0,212142.495,-350178.0
434,318445.0,208908.14,-449146.0
435,318445.0,204904.955,-337548.0
436,318445.0,208222.955,-255212.0
437,318445.0,202967.405,-256728.0
438,318445.0,191740.48,-343479.0
439,318445.0,195443.815,-436578.0
440,318445.0,184699.445,-343294.0
441,318445.0,198604.88,-221260.0
442,318445.0,189287.34,-336196.0
443,318445.0,206360.515,-427504.0
444,318445.0,205365.085,-362008.0
445,318445.0,178872.53,-337927.0
446,318445.0,199306.025,-344700.0
447,318445.0,184238.29,-233879.0
448,318445.0,214946.635,-336727.0
449,318445.0,192631.64,-332467.0
450,318445.0,205082.63,-218267.0
451,318445.0,209299.065,-331735.0
452,318445.0,192720.925,-254536.0
453,318445.0,203098.015,-256741.0
454,318445.0,206008.02,-337997.0
455,318445.0,186880.525,-446520.0
456,318445.0,197225.48,-231556.0
457,318445.0,199503.54,-336160.0
458,318445.0,193239.67,-341247.0
459,318445.0,196839.725,-456564.0
460,318445.0,213274.485,-255375.0
461,318445.0,193575.23,-450056.0
462,318445.0,197344.72,-254536.0
463,318445.0,212116.165,-433161.0
464,319679.0,202001.41,-342158.0
465,319679.0,203709.165,-450076.0
466,319679.0,197945.66,-374542.0
467,319679.0,186237.77,-432195.0
468,319679.0,219226.04,-259709.0
469,319679.0,206246.5,-359224.0
470,319679.0,210099.485,-434216.0
471,319679.0,204796.385,-213633.0
472,319679.0,208468.58,-559015.0
473,319679.0,200240.94,-241836.0
474,319679.0,200822.725,-232386.0
475,319679.0,202431.965,-413474.0
476,319679.0,205076.105,-325861.0
477,319679.0,195384.375,-458695.0
478,319679.0,209142.155,-448834.0
479,319679.0,202480.035,-453215.0
480,319679.0,206386.46,-584830.0
481,319679.0,215378.91,-261943.0
482,319679.0,201325.2,-331084.0
483,319679.0,200934.32,-224288.0
484,319679.0,217460.705,-222487.0
485,319679.0,194776.175,-344482.0
486,319679.0,191546.435,-332030.0
487,319679.0,187314.86,-329675.0
488,319679.0,200009.74,-333269.0
489,319679.0,195525.24,-364843.0
490,319679.0,216684.305,-124535.0
491,319679.0,205381.285,-336704.0
492,319679.0,202226.56,-232191.0
493,319679.0,222499.775,-442139.0
494,319679.0,201084.08,-543725.0
495,319679.0,214725.4,-234963.0
496,319679.0,200512.13,-428733.0
497,319679.0,196947.54,-442634.0
498,319679.0,189284.515,-438425.0
499,320124.0,214301.545,-343694.0
